merchant_id,sector,txn_velocity_drop_pct,balance_drop_pct,wc_utilization_pct,complaints_12m,churn_probability,risk_tier
MRC01330,Agri-Allied,53.12,38.62,0.0,4,0.9993579,High
MRC01504,Textile & Apparel,58.62,40.26,85.76,1,0.9993493,High
MRC01353,Textile & Apparel,79.07,34.25,82.3,3,0.99933064,High
MRC02128,Retail Trader,65.12,51.93,0.0,4,0.999328,High
MRC03159,Food & Beverages,78.95,16.11,0.0,3,0.9993037,High
MRC00143,Agri-Allied,68.75,56.79,0.0,1,0.9992912,High
MRC00623,Textile & Apparel,58.82,34.81,75.7,1,0.99926156,High
MRC00496,Textile & Apparel,69.39,35.0,0.0,1,0.9992494,High
MRC02707,Retail Trader,71.43,22.3,0.0,4,0.99920326,High
MRC03213,Retail Trader,46.67,56.97,76.35,1,0.999161,High
MRC03080,Construction,58.62,30.16,98.09,2,0.9991547,High
MRC02493,Food & Beverages,72.73,16.05,81.01,3,0.99915385,High
MRC00358,Small Mfg,80.0,18.27,77.82,2,0.99912745,High
MRC00783,Retail Trader,54.35,51.23,77.52,1,0.9991092,High
MRC02115,Small Mfg,77.36,28.28,0.0,3,0.999065,High
MRC02370,Small Mfg,46.67,30.1,82.68,1,0.99906343,High
MRC02096,Food & Beverages,76.0,26.42,98.38,1,0.9990037,High
MRC03811,Small Mfg,78.05,26.09,95.92,0,0.99898785,High
MRC01224,Construction,50.0,21.76,88.17,2,0.99898463,High
MRC04681,Retail Trader,59.09,43.89,76.43,1,0.9989833,High
MRC01553,Food & Beverages,79.07,24.8,97.54,0,0.9989166,High
MRC03961,Agri-Allied,52.63,21.74,0.0,3,0.9988745,High
MRC02756,Textile & Apparel,66.67,28.23,98.96,1,0.9987884,High
MRC02360,Retail Trader,61.82,20.72,0.0,2,0.99878055,High
MRC02298,Retail Trader,73.91,28.24,77.68,5,0.99877316,High
MRC04027,Textile & Apparel,84.21,16.74,0.0,2,0.9987262,High
MRC03896,Food & Beverages,58.82,16.22,89.32,1,0.9986847,High
MRC03809,Retail Trader,52.94,16.39,87.74,1,0.99855715,High
MRC03329,Retail Trader,55.0,15.67,94.3,1,0.99838257,High
MRC04955,Textile & Apparel,48.94,51.14,0.0,0,0.99808794,High
MRC01905,Food & Beverages,65.38,29.1,0.0,1,0.998013,High
MRC03614,Food & Beverages,76.47,15.77,0.0,2,0.99798906,High
MRC02841,Textile & Apparel,56.25,36.39,75.4,1,0.9975376,High
MRC04418,Retail Trader,57.14,16.79,0.0,1,0.9974189,High
MRC03413,Retail Trader,77.78,42.33,80.04,1,0.9972574,High
MRC02122,Agri-Allied,55.0,27.19,89.71,2,0.9972295,High
MRC04007,Textile & Apparel,57.14,28.84,0.0,0,0.99701595,High
MRC00228,Textile & Apparel,52.0,15.17,0.0,2,0.99701023,High
MRC01706,Retail Trader,75.41,20.7,0.0,4,0.9966473,High
MRC03404,Textile & Apparel,52.27,29.88,77.17,0,0.9965191,High
MRC02196,Textile & Apparel,60.53,17.13,0.0,0,0.996433,High
MRC04924,Tech Services,75.68,17.83,78.51,0,0.9961876,High
MRC01874,Food & Beverages,73.33,26.99,89.1,0,0.9960531,High
MRC01328,Food & Beverages,80.43,25.37,0.0,2,0.99551165,High
MRC03894,Textile & Apparel,57.14,24.16,76.67,1,0.9950395,High
MRC04502,Agri-Allied,79.55,18.16,79.92,1,0.99499583,High
MRC03646,Retail Trader,52.63,25.38,0.0,1,0.99448365,High
MRC02258,Textile & Apparel,70.0,17.03,0.0,1,0.9920048,High
MRC00595,Tech Services,60.38,15.66,0.0,2,0.9901724,High
MRC01271,Small Mfg,71.7,22.61,78.47,1,0.98085475,High
MRC00034,Construction,53.85,15.46,0.0,6,0.9795854,High
MRC02842,Food & Beverages,49.06,21.92,0.0,0,0.97795814,High
MRC01032,Small Mfg,58.82,15.23,83.52,2,0.9763298,High
MRC00511,Small Mfg,62.5,15.75,0.0,1,0.9701608,High
MRC02763,Small Mfg,72.73,15.41,81.07,1,0.96728146,High
MRC01065,Textile & Apparel,55.56,24.92,79.3,1,0.96655864,High
MRC03901,Textile & Apparel,70.0,20.45,78.54,1,0.962905,High
MRC01310,Food & Beverages,52.63,27.76,0.0,0,0.9587708,High
MRC00373,Retail Trader,52.0,15.74,76.04,1,0.91903645,High
