merchant_id,sector,tenure_months,credit_score,num_products,has_working_capital_loan,has_pos_machine,estimated_annual_turnover,account_balance,txn_count_90d,txn_count_30d,txn_velocity_drop_pct,avg_ticket_size_90d,ticket_size_variance_pct,balance_drop_pct,wc_utilization_pct,pos_txn_monthly,complaints_12m,days_since_last_txn,satisfaction_score,cashback_utilization,churn,risk_tier,sector_encoded,churn_probability
MRC00012,Construction,101,578,1,1,1,677344.0,46478.27,57,16,15.79,2957.83,14.37,5.54,58.44,30,0,1,5,0.416,0,Low,1,0.00011198256
MRC00013,Food & Beverages,48,543,1,1,1,592726.35,58691.74,41,15,-9.76,3592.28,15.55,3.89,36.87,25,0,8,4,0.788,0,Low,2,7.760667e-05
MRC00014,Retail Trader,7,756,1,0,1,552612.99,81880.01,40,11,17.5,3432.38,5.66,13.73,0.0,31,1,0,5,0.31,0,Low,3,0.0001378748
MRC00015,Retail Trader,59,773,1,0,0,177872.85,11752.64,49,4,75.51,902.91,31.53,39.28,0.0,0,3,41,1,0.175,1,High,3,0.9997447
MRC00016,Retail Trader,69,675,1,1,1,319646.64,8705.79,39,11,15.38,2035.97,18.98,6.58,44.1,39,0,13,4,0.583,0,Low,3,5.65589e-05
MRC00017,Textile & Apparel,11,747,3,1,1,442451.95,20059.45,49,4,75.51,2245.95,38.06,55.85,84.09,6,1,68,2,0.154,1,High,6,0.9995721
MRC00018,Agri-Allied,15,660,1,0,0,835840.61,114276.75,59,21,-6.78,3526.75,16.37,3.19,0.0,0,0,13,4,0.438,0,Low,0,0.00011908102
MRC00019,Textile & Apparel,64,642,2,0,0,373929.4,41475.99,55,7,61.82,1691.99,32.69,54.33,0.0,0,4,30,3,0.129,1,High,6,0.9996736
MRC00020,Textile & Apparel,3,623,1,0,1,257054.89,31547.35,41,5,63.41,1557.91,43.08,41.33,0.0,6,4,60,2,0.131,1,High,6,0.9996014
MRC00021,Small Mfg,69,625,2,1,1,1815234.16,65605.95,45,13,13.33,10028.92,14.8,-0.12,42.0,36,1,9,5,0.791,0,Low,4,4.236118e-05
MRC00022,Retail Trader,23,526,2,1,0,1137947.51,42728.0,46,13,15.22,6151.07,8.04,5.42,63.68,0,0,3,4,0.378,0,Low,3,0.000123196
MRC00023,Textile & Apparel,53,671,1,1,0,381904.0,13210.82,45,14,6.67,2109.97,11.59,-9.53,50.28,0,1,6,4,0.512,0,Low,6,6.38334e-05
MRC00024,Textile & Apparel,37,646,3,1,1,1339134.63,176005.13,40,13,2.5,8317.61,13.9,13.42,55.79,28,1,1,4,0.757,0,Low,6,3.277251e-05
MRC00025,Textile & Apparel,9,709,2,1,1,423458.39,20027.8,40,14,-5.0,2630.18,10.24,10.66,41.21,27,0,6,5,0.498,0,Low,6,8.494054e-05
MRC00026,Food & Beverages,15,657,3,0,0,786759.61,81515.95,37,5,59.46,5280.27,47.14,57.81,0.0,0,1,17,3,0.093,1,High,2,0.9991227
MRC00027,Retail Trader,3,636,1,0,1,2350298.42,204714.82,43,6,58.14,13585.54,52.64,54.29,0.0,4,2,86,1,0.192,1,High,3,0.9996319
MRC00028,Agri-Allied,93,580,4,1,0,353454.73,32083.33,52,18,-3.85,1691.17,17.26,6.93,74.66,0,0,1,4,0.484,0,Low,0,0.00010793854
MRC00029,Small Mfg,70,655,2,1,1,178636.1,8111.26,43,15,-4.65,1032.58,16.57,-1.47,53.26,29,0,4,4,0.687,0,Low,4,6.770953e-05
MRC00030,Retail Trader,17,709,4,1,1,612827.33,62865.05,42,15,-7.14,3626.2,16.03,11.42,69.57,23,1,13,3,0.562,0,Low,3,0.00011913782
MRC00031,Small Mfg,26,558,2,1,1,142036.87,3636.58,45,17,-13.33,784.73,6.93,-3.79,34.76,23,0,11,4,0.401,0,Low,4,0.00014670032
MRC00032,Retail Trader,21,656,2,1,1,522856.22,77984.73,47,13,17.02,2766.44,8.67,10.46,56.57,20,2,2,5,0.51,0,Low,3,0.00052752544
MRC00033,Retail Trader,72,668,2,0,0,520859.19,12229.07,37,3,75.68,3495.7,46.66,54.5,0.0,0,1,31,3,0.172,1,High,3,0.9996866
MRC00034,Construction,21,592,3,0,1,37933.09,1006.0,39,6,53.85,241.61,48.6,15.46,0.0,9,6,87,1,0.18,1,High,1,0.9795854
MRC00035,Construction,11,602,4,0,0,1378852.51,85770.37,40,3,77.5,8564.3,51.96,59.0,0.0,0,2,62,3,0.102,1,High,1,0.99989545
MRC00036,Food & Beverages,38,668,1,0,1,585822.59,75050.49,39,12,7.69,3731.35,8.89,14.58,0.0,30,1,6,5,0.829,0,Low,2,6.3146166e-05
MRC00037,Textile & Apparel,72,559,2,1,1,3012484.6,160970.9,55,20,-9.09,13631.15,19.5,-1.38,41.75,29,0,7,3,0.494,0,Low,6,0.00010067981
MRC00038,Retail Trader,106,677,1,0,1,944714.81,76854.02,50,18,-8.0,4700.07,18.92,-4.88,0.0,26,2,7,5,0.509,0,Low,3,0.0008612387
MRC00039,Small Mfg,88,578,2,0,1,1763357.61,39388.21,51,14,17.65,8601.74,9.03,-9.19,0.0,36,1,4,5,0.599,0,Low,4,0.0001086889
MRC00040,Textile & Apparel,35,735,1,1,0,3042063.13,92035.52,47,5,68.09,16095.57,65.87,56.12,78.22,0,2,25,1,0.107,1,High,6,0.9998253
MRC00041,Retail Trader,119,837,1,0,1,622774.33,61676.82,46,16,-4.35,3366.35,7.9,-9.19,0.0,30,0,2,4,0.686,0,Low,3,0.00015128481
MRC00042,Agri-Allied,14,581,3,1,0,728696.19,32985.6,56,7,62.5,3238.65,51.69,56.51,95.55,0,4,20,3,0.127,1,High,0,0.99965394
MRC00043,Retail Trader,119,692,1,1,1,110387.05,12170.51,46,16,-4.35,596.69,10.88,12.57,63.16,30,0,9,4,0.4,0,Low,3,0.00014852418
MRC00044,Tech Services,14,591,2,1,0,3228232.38,394169.93,51,19,-11.76,15747.48,5.57,2.45,40.35,0,0,13,5,0.757,0,Low,5,0.00010192284
MRC00045,Retail Trader,10,733,2,1,0,612413.58,79946.58,49,17,-4.08,3108.7,16.36,-8.92,61.22,0,0,11,3,0.351,0,Low,3,0.00021776087
MRC00046,Small Mfg,12,548,1,0,0,218190.4,8158.99,35,12,-2.86,1547.45,22.96,-3.39,0.0,0,1,0,5,0.973,0,Low,4,7.198475e-05
MRC00047,Textile & Apparel,38,688,1,0,1,1772084.3,140377.63,36,10,16.67,12221.27,15.78,-8.78,0.0,30,0,10,4,0.601,0,Low,6,6.5686065e-05
MRC00048,Agri-Allied,108,580,2,1,0,53330.44,7632.68,46,16,-4.35,288.27,6.28,12.05,53.63,0,0,11,4,0.647,0,Low,0,0.00015663951
MRC00049,Agri-Allied,119,633,1,1,1,435770.47,52454.07,36,10,16.67,3005.31,16.99,-4.0,44.13,36,0,6,4,0.609,0,Low,0,4.902786e-05
MRC00050,Retail Trader,110,567,3,1,0,2169426.16,76374.32,47,8,48.94,11478.45,61.85,46.98,81.51,0,2,77,2,0.009,1,High,3,0.9999149
MRC00051,Construction,34,715,4,0,0,431375.31,36807.11,43,14,2.33,2493.5,23.14,14.11,0.0,0,0,0,5,0.78,0,Low,1,0.0001436367
MRC00052,Food & Beverages,41,583,1,1,1,308196.75,43119.65,44,15,-2.27,1741.22,12.26,2.18,46.29,38,0,6,4,0.476,0,Low,2,4.156458e-05
MRC00053,Construction,10,694,1,1,1,442685.23,34177.53,41,4,70.73,2682.94,31.56,26.9,94.09,3,3,59,3,0.105,1,High,1,0.99983
MRC00054,Tech Services,17,622,2,1,0,65387.4,8426.1,48,18,-12.5,338.79,5.77,13.18,63.47,0,1,2,4,0.352,0,Low,5,5.980181e-05
MRC00055,Small Mfg,17,640,2,0,0,1721272.01,145378.09,59,9,54.24,7262.75,40.74,44.99,0.0,0,4,81,3,0.124,1,High,4,0.9998357
MRC00056,Tech Services,67,661,1,1,1,629409.12,21327.85,42,12,14.29,3724.31,5.83,-2.96,70.1,35,2,12,4,0.365,0,Low,5,0.00088284776
MRC00057,Retail Trader,62,589,1,1,1,526081.0,20633.5,36,4,66.67,3628.14,43.41,41.72,94.81,7,0,27,1,0.144,1,High,3,0.9999149
MRC00058,Retail Trader,95,666,2,1,1,528394.09,13774.1,49,3,81.63,2682.2,36.65,48.83,88.13,8,0,57,1,0.044,1,High,3,0.9996996
MRC00059,Retail Trader,115,772,4,0,0,741845.11,33673.03,51,5,70.59,3618.76,64.02,29.25,0.0,0,1,63,1,0.169,1,High,3,0.9997009
MRC00060,Textile & Apparel,1,587,1,1,1,1597778.6,217569.24,43,6,58.14,9235.71,69.4,38.51,88.62,2,1,45,1,0.063,1,High,6,0.9997788
MRC00061,Textile & Apparel,12,743,1,0,0,685239.54,71625.17,50,19,-14.0,3409.15,14.92,13.29,0.0,0,1,11,3,0.421,0,Low,6,0.00021453541
MRC00062,Retail Trader,103,769,4,0,1,142348.87,16519.79,44,13,11.36,804.23,17.12,5.15,0.0,31,1,13,3,0.314,0,Low,3,0.00021581007
MRC00063,Food & Beverages,4,584,2,1,1,1455149.71,146702.36,56,18,3.57,6467.33,15.35,2.62,56.15,26,0,6,5,0.481,0,Low,2,0.00010223364
MRC00064,Textile & Apparel,42,533,2,0,1,1326804.04,93208.13,44,14,4.55,7496.07,14.58,-8.1,0.0,21,0,13,4,0.529,0,Low,6,7.260577e-05
MRC00065,Textile & Apparel,13,674,2,1,1,933440.4,44984.31,52,15,13.46,4466.22,16.56,5.43,74.2,31,0,8,4,0.93,0,Low,6,0.00011674288
MRC00066,Agri-Allied,98,606,4,1,1,2650581.4,371955.81,50,4,76.0,13186.97,56.17,26.46,88.31,0,5,38,2,0.104,1,High,0,0.9997209
MRC00067,Retail Trader,106,799,2,0,0,756497.43,65760.71,45,13,13.33,4179.54,8.71,2.86,0.0,0,0,5,5,0.427,0,Low,3,0.00027046085
MRC00068,Food & Beverages,85,652,3,1,0,2768043.49,228482.57,44,3,79.55,15638.66,51.8,31.09,81.48,0,1,39,1,0.108,1,High,2,0.9997353
MRC00069,Retail Trader,86,585,2,1,1,3947737.65,590161.24,55,10,45.45,17863.07,43.46,51.3,99.54,4,1,57,1,0.136,1,High,3,0.99991953
MRC00070,Construction,4,558,2,0,1,1467066.61,102563.94,31,11,-6.45,11736.53,13.69,-7.58,0.0,36,2,9,3,0.374,0,Low,1,0.00072720443
MRC00071,Food & Beverages,82,737,1,1,0,297294.84,38956.41,49,15,8.16,1509.11,19.79,-0.07,53.07,0,0,6,4,0.866,0,Low,2,0.00025334736
MRC00072,Retail Trader,69,604,1,0,1,623470.75,82363.43,36,10,16.67,4299.8,8.31,-5.01,0.0,28,0,4,5,0.951,0,Low,3,0.00010198554
MRC00073,Retail Trader,19,653,2,1,1,3225592.59,162076.76,50,14,16.0,16047.72,16.4,-6.22,53.34,35,1,2,4,0.621,0,Low,3,4.712028e-05
MRC00074,Food & Beverages,2,726,1,0,1,120915.42,3909.09,59,19,3.39,510.19,10.45,-4.49,0.0,25,1,7,5,0.71,0,Low,2,0.00011354286
MRC00075,Small Mfg,12,611,2,0,1,455729.9,66915.1,42,3,78.57,2696.63,45.45,53.8,0.0,4,2,53,3,0.036,1,High,4,0.99989307
MRC00076,Small Mfg,81,646,1,0,1,483323.85,36426.47,42,15,-7.14,2859.9,17.53,7.81,0.0,26,2,13,4,0.935,0,Low,4,0.00052250514
MRC00077,Food & Beverages,74,648,3,1,0,258266.5,5239.88,55,18,1.82,1168.63,16.65,12.7,59.66,0,1,4,4,0.786,0,Low,2,8.345679e-05
MRC00078,Retail Trader,98,704,1,1,1,2079118.87,176459.64,51,19,-11.76,10142.04,9.31,2.66,60.71,32,0,3,4,0.705,0,Low,3,0.000111956506
MRC00079,Textile & Apparel,6,697,3,1,1,1146446.92,115228.29,42,13,7.14,6783.71,19.19,-9.97,49.69,39,0,3,4,0.804,0,Low,6,0.00010261132
MRC00080,Retail Trader,8,632,2,0,0,310745.64,37566.5,43,6,58.14,1796.22,34.46,38.71,0.0,0,0,66,1,0.001,1,High,3,0.99880946
MRC00081,Tech Services,51,655,1,1,1,1508483.66,215083.33,57,4,78.95,6587.26,39.84,26.91,94.99,3,7,68,3,0.017,1,High,5,0.9997377
MRC00082,Small Mfg,11,620,2,0,1,603137.53,83819.34,52,3,82.69,2885.83,55.81,50.43,0.0,6,3,56,2,0.127,1,High,4,0.9999206
MRC00083,Textile & Apparel,63,531,1,0,0,250638.39,35645.2,42,14,0.0,1483.07,19.41,-4.96,0.0,0,0,8,5,0.765,0,Low,6,0.00015297256
MRC00084,Retail Trader,57,670,1,1,0,310052.81,7495.92,48,16,0.0,1606.49,21.22,-7.46,59.23,0,0,5,5,0.518,0,Low,3,9.893503e-05
MRC00085,Textile & Apparel,12,801,1,0,0,1230906.31,138514.67,48,15,6.25,6377.75,7.12,11.52,0.0,0,0,2,4,0.516,0,Low,6,0.00020198687
MRC00086,Textile & Apparel,73,579,1,0,1,2250835.09,111104.68,40,11,17.5,13980.34,18.93,-4.29,0.0,28,0,11,5,0.913,0,Low,6,9.515287e-05
MRC00087,Small Mfg,2,588,4,1,1,406719.13,18050.95,43,13,9.3,2350.98,11.37,2.56,72.73,31,0,7,4,0.404,0,Low,4,0.00011518561
MRC00088,Small Mfg,8,580,1,1,1,1401886.8,173892.02,36,10,16.67,9668.18,21.46,-1.51,69.29,35,1,12,5,0.698,0,Low,4,0.00010920898
MRC00089,Tech Services,11,707,2,0,1,4867568.01,361304.29,47,16,-2.13,25754.33,14.6,12.41,0.0,23,0,6,4,0.39,0,Low,5,0.00010567546
MRC00090,Agri-Allied,53,685,1,0,1,161031.51,22408.82,29,9,6.9,1376.34,16.61,7.62,0.0,29,0,9,3,0.581,0,Low,0,9.137202e-05
MRC00091,Retail Trader,100,637,2,0,1,1117722.68,28520.44,40,7,47.5,6942.38,62.21,29.16,0.0,5,3,28,2,0.142,1,High,3,0.9999187
MRC00092,Small Mfg,10,576,1,1,1,1976398.54,245633.74,46,15,2.17,10683.24,18.01,11.58,36.22,35,0,0,4,0.783,0,Low,4,9.810053e-05
MRC00093,Food & Beverages,85,657,2,1,0,650710.56,24589.36,41,13,4.88,3943.7,5.71,8.17,58.63,0,0,4,5,0.436,0,Low,2,7.253629e-05
MRC00094,Agri-Allied,84,524,2,1,1,3223376.12,138460.24,45,4,73.33,17808.71,41.21,59.36,87.99,4,2,27,2,0.042,1,High,0,0.9999423
MRC00095,Food & Beverages,112,661,2,1,1,10207205.45,837559.62,37,6,51.35,68504.73,35.53,33.76,76.35,5,0,79,2,0.066,1,High,2,0.99983585
MRC00096,Agri-Allied,8,719,1,1,0,1101327.05,78664.15,45,6,60.0,6084.68,50.94,29.62,78.8,0,2,25,3,0.154,1,High,0,0.9998425
MRC00097,Agri-Allied,36,549,2,1,1,551111.44,45853.79,46,16,-4.35,2978.98,5.02,-4.94,72.84,28,0,7,3,0.477,0,Low,0,0.00011062605
MRC00098,Textile & Apparel,93,527,1,0,1,2355772.76,334999.01,35,11,5.71,16707.61,11.26,3.91,0.0,36,0,8,4,0.958,0,Low,6,9.671331e-05
MRC00099,Retail Trader,106,776,1,0,1,2003653.12,211306.38,58,19,1.72,8599.37,12.76,3.32,0.0,20,1,7,5,0.601,0,Low,3,0.00013597564
MRC00100,Retail Trader,76,601,1,1,1,35504.08,2050.01,49,18,-10.2,180.22,9.68,11.73,34.35,35,2,4,5,0.897,0,Low,3,0.0007382724
MRC00101,Retail Trader,14,740,1,0,0,727025.86,30882.7,41,5,63.41,4406.22,57.8,34.1,0.0,0,2,46,1,0.15,1,High,3,0.9998628
MRC00102,Small Mfg,112,637,2,1,1,454285.28,33892.41,44,15,-2.27,2566.58,22.86,0.63,64.27,35,0,6,4,0.56,0,Low,4,4.9123755e-05
MRC00103,Textile & Apparel,54,637,2,0,0,1174140.36,92420.5,44,14,4.55,6633.56,11.53,3.2,0.0,0,0,3,3,0.459,0,Low,6,4.6157533e-05
MRC00104,Agri-Allied,114,685,1,1,0,578162.39,56757.2,47,17,-8.51,3059.06,19.45,1.6,69.11,0,0,9,5,0.588,0,Low,0,0.00016573319
MRC00105,Tech Services,85,579,1,0,1,658545.37,35943.64,34,11,2.94,4806.9,9.75,-8.32,0.0,33,0,9,3,0.397,0,Low,5,0.000112098685
MRC00106,Retail Trader,86,660,1,0,1,258886.41,31008.43,51,3,82.35,1262.86,59.58,52.99,0.0,5,6,83,1,0.175,1,High,3,0.99988675
MRC00107,Textile & Apparel,21,619,2,1,1,1761075.15,57762.97,38,11,13.16,11510.3,18.55,-6.16,53.96,26,0,5,5,0.976,0,Low,6,4.07643e-05
MRC00108,Food & Beverages,108,544,2,1,1,5315037.72,493548.75,46,17,-10.87,28729.93,20.12,4.9,63.28,23,0,9,5,0.488,0,Low,2,0.00011773662
MRC00109,Retail Trader,50,676,1,1,1,263759.68,26655.32,47,16,-2.13,1395.55,13.79,0.72,60.72,27,0,7,4,0.467,0,Low,3,8.955969e-05
MRC00110,Retail Trader,94,628,2,1,1,136425.5,6396.73,37,10,18.92,915.61,22.59,-5.55,34.67,30,0,4,5,0.953,0,Low,3,7.202217e-05
MRC00111,Textile & Apparel,39,637,2,1,1,747137.01,95171.42,50,17,-2.0,3717.1,12.48,8.42,44.48,29,0,0,4,0.736,0,Low,6,3.4583954e-05
MRC00112,Retail Trader,20,553,2,1,0,704760.43,70480.4,53,15,15.09,3308.73,17.02,10.07,57.54,0,0,9,4,0.694,0,Low,3,0.00012156356
MRC00113,Tech Services,88,777,2,0,0,2973110.72,309036.69,30,9,10.0,24571.16,17.8,-4.75,0.0,0,0,13,4,0.64,0,Low,5,0.00022676925
MRC00114,Food & Beverages,87,720,2,0,1,166869.28,14134.94,41,14,-2.44,1011.33,24.05,8.07,0.0,29,0,13,3,0.884,0,Low,2,0.00016579009
MRC00115,Small Mfg,7,727,2,0,1,382488.47,52877.98,52,5,71.15,1830.09,42.44,38.92,0.0,6,0,23,3,0.165,1,High,4,0.9990742
MRC00116,Tech Services,9,625,1,1,0,55423.34,6108.24,40,3,77.5,344.24,68.86,15.04,84.32,0,1,42,1,0.159,0,High,5,0.1726186
MRC00117,Food & Beverages,1,511,1,0,0,3797981.74,264486.22,38,13,-2.63,24823.41,14.24,14.07,0.0,0,0,6,4,0.98,0,Low,2,9.604955e-05
MRC00118,Retail Trader,26,806,1,1,0,985252.82,50266.38,45,17,-13.33,5443.39,23.36,-6.1,74.71,0,1,9,4,0.431,0,Low,3,0.00030062007
MRC00119,Tech Services,38,645,2,1,1,418269.19,12229.36,45,16,-6.67,2310.88,5.43,9.65,35.78,32,0,9,3,0.677,0,Low,5,2.6006986e-05
MRC00120,Agri-Allied,38,590,3,1,0,149234.51,6192.77,42,13,7.14,883.04,10.53,-7.57,59.07,0,1,8,5,0.803,0,Low,0,0.000108607055
MRC00121,Food & Beverages,118,683,1,0,0,166612.95,24833.46,46,16,-4.35,900.61,10.67,14.03,0.0,0,0,12,5,0.426,0,Low,2,0.00020139974
MRC00122,Tech Services,61,743,1,0,1,1199146.1,87393.4,38,14,-10.53,7837.56,11.1,1.3,0.0,25,0,7,4,0.892,0,Low,5,0.00012431566
MRC00123,Textile & Apparel,44,648,2,1,1,193124.42,26425.09,37,5,59.46,1296.14,59.36,21.09,93.55,3,3,29,1,0.167,1,High,6,0.99864024
MRC00124,Retail Trader,86,752,3,0,1,826377.12,34851.64,44,12,18.18,4668.8,21.51,9.1,0.0,28,0,7,3,0.954,0,Low,3,0.0001733384
MRC00125,Retail Trader,44,736,3,0,1,8465704.82,637441.44,43,15,-4.65,48934.71,5.18,-3.78,0.0,23,0,12,4,0.447,0,Low,3,8.885153e-05
MRC00126,Textile & Apparel,74,563,2,0,0,480650.11,69630.53,46,13,15.22,2598.11,14.55,-0.03,0.0,0,0,9,5,0.749,0,Low,6,0.00010507888
MRC00127,Food & Beverages,119,596,3,0,1,230099.4,7328.02,45,15,0.0,1271.27,6.13,-8.25,0.0,33,1,6,5,0.809,0,Low,2,0.00015290853
MRC00128,Tech Services,62,726,1,0,1,1153612.23,112151.82,43,13,9.3,6668.28,20.97,5.37,0.0,25,0,13,5,0.853,0,Low,5,0.00010189961
MRC00129,Retail Trader,6,432,1,1,1,167552.15,23372.24,41,15,-9.76,1015.47,19.93,9.98,36.77,42,0,2,5,0.387,0,Low,3,0.00013855076
MRC00130,Agri-Allied,17,638,1,1,1,5745809.91,824287.22,53,17,3.77,26975.63,19.43,11.3,49.49,32,0,12,3,0.704,0,Low,0,4.264625e-05
MRC00131,Textile & Apparel,51,535,2,1,1,3930760.99,510924.13,53,18,-1.89,18454.28,19.73,3.41,53.13,37,0,5,3,0.922,0,Low,6,7.590498e-05
MRC00132,Retail Trader,114,611,1,0,0,598986.33,78629.82,37,3,75.68,4020.04,34.15,58.87,0.0,0,0,70,1,0.12,1,High,3,0.99935704
MRC00133,Retail Trader,38,626,2,1,1,248512.44,26040.07,35,6,48.57,1762.5,45.17,26.36,96.74,3,3,88,2,0.029,1,High,3,0.99947196
MRC00134,Textile & Apparel,24,621,2,1,0,437606.84,21291.76,52,8,53.85,2093.81,68.7,32.37,90.5,0,4,38,1,0.051,1,High,6,0.9996159
MRC00135,Construction,51,605,1,0,1,511550.33,58822.26,40,13,2.5,3177.33,8.68,-9.89,0.0,24,0,7,4,0.809,0,Low,1,7.58019e-05
MRC00136,Textile & Apparel,10,562,3,0,1,1155773.71,170118.31,35,11,5.71,8196.98,14.03,-5.13,0.0,29,0,1,4,0.903,0,Low,6,0.00010412045
MRC00137,Agri-Allied,72,833,1,0,1,2539705.77,224437.25,41,11,19.51,15392.16,5.18,5.87,0.0,40,1,4,5,0.956,0,Low,0,0.0001383898
MRC00138,Small Mfg,21,799,1,1,1,210277.81,11332.01,45,4,73.33,1161.76,66.74,24.6,98.2,7,4,75,1,0.049,1,High,4,0.99984205
MRC00139,Textile & Apparel,70,557,2,1,1,2453660.33,231996.62,41,12,12.2,14870.67,14.16,0.27,40.52,40,0,13,3,0.42,0,Low,6,0.00010644541
MRC00140,Construction,85,776,1,1,1,1530680.15,168037.07,61,22,-8.2,6247.67,23.19,10.65,63.12,43,0,9,5,0.786,0,Low,1,0.00015561335
MRC00141,Construction,57,618,2,0,1,396587.75,18669.94,45,6,60.0,2191.09,50.1,38.76,0.0,4,2,89,2,0.066,1,High,1,0.9997924
MRC00142,Retail Trader,39,660,3,1,1,197984.84,22470.21,43,14,2.33,1144.42,18.45,-0.03,35.33,38,0,1,3,0.363,0,Low,3,9.323604e-05
MRC00143,Agri-Allied,88,644,3,0,1,838591.74,80811.96,48,5,68.75,4345.03,53.93,56.79,0.0,9,1,28,1,0.094,1,High,0,0.9992912
MRC00144,Textile & Apparel,33,597,3,0,1,204534.88,20372.8,46,4,73.91,1105.59,37.87,42.5,0.0,4,1,85,3,0.101,1,High,6,0.99961555
MRC00145,Textile & Apparel,59,728,1,1,1,2491553.62,148941.17,39,4,69.23,15869.77,32.23,28.56,96.16,3,0,19,1,0.087,1,High,6,0.99966705
MRC00146,Retail Trader,18,660,2,0,1,189347.77,7608.88,43,12,16.28,1094.5,16.82,11.88,0.0,30,0,2,4,0.955,0,Low,3,0.00011518133
MRC00147,Small Mfg,56,611,1,1,1,1407389.93,142214.62,42,13,7.14,8327.75,10.69,-3.82,61.14,28,1,4,4,0.629,0,Low,4,4.352102e-05
MRC00148,Agri-Allied,92,545,1,1,1,662158.59,63706.47,37,13,-5.41,4444.02,18.05,3.34,65.24,28,1,6,4,0.8,0,Low,0,0.00010874386
MRC00149,Retail Trader,57,578,1,1,1,372223.64,23800.57,46,17,-10.87,2012.02,7.69,-0.77,52.97,21,0,3,4,0.627,0,Low,3,6.1109116e-05
MRC00150,Retail Trader,116,518,1,0,1,644739.86,37695.47,59,17,13.56,2720.42,8.03,4.78,0.0,32,0,1,5,0.474,0,Low,3,9.100706e-05
MRC00151,Tech Services,96,650,3,1,1,2665706.82,173648.89,46,16,-4.35,14409.23,18.52,4.39,35.64,27,1,11,3,0.527,0,Low,5,5.0940038e-05
MRC00152,Retail Trader,76,554,1,1,0,174432.15,14597.33,43,12,16.28,1008.28,24.47,4.28,73.69,0,0,9,4,0.702,0,Low,3,0.00017298441
MRC00153,Retail Trader,48,628,2,1,1,444814.28,65266.07,40,12,10.0,2762.82,9.94,3.19,47.69,25,0,0,4,0.518,0,Low,3,3.1690564e-05
MRC00154,Agri-Allied,42,759,1,1,1,295938.73,35294.66,42,11,21.43,1751.12,19.28,1.36,64.73,38,0,9,5,0.353,0,Medium,0,6.727368e-05
MRC00155,Construction,27,745,2,1,0,696386.04,91035.88,36,5,58.33,4802.66,41.67,52.85,90.19,0,1,87,1,0.054,1,High,1,0.99988735
MRC00156,Retail Trader,74,647,4,1,1,320738.98,27498.38,48,3,81.25,1661.86,56.42,15.99,87.77,3,2,40,1,0.023,1,High,3,0.99972254
MRC00157,Small Mfg,110,643,1,0,1,87404.54,7726.22,38,12,5.26,571.27,12.78,0.85,0.0,28,0,4,3,0.728,0,Low,4,6.285077e-05
MRC00158,Food & Beverages,52,800,2,1,1,205630.25,9574.6,40,12,10.0,1277.21,24.43,-4.72,66.39,30,0,0,5,0.395,0,Low,2,0.00016017059
MRC00159,Retail Trader,42,691,1,1,1,5205914.92,592099.72,55,19,-3.64,23556.18,6.65,-1.69,37.56,32,0,1,5,0.353,0,Low,3,7.001631e-05
MRC00160,Small Mfg,32,623,1,1,1,980750.97,73365.98,44,12,18.18,5540.97,24.69,-3.78,61.77,40,0,0,5,0.317,0,Low,4,4.566338e-05
