credit_score,tenure_months,num_products,has_working_capital_loan,has_pos_machine,txn_velocity_drop_pct,avg_ticket_size_90d,ticket_size_variance_pct,balance_drop_pct,wc_utilization_pct,pos_txn_monthly,complaints_12m,days_since_last_txn,satisfaction_score,cashback_utilization,sector_encoded
577,4,1,0,1,-2.44,2835.0,5.8,14.65,0.0,22,0,5,4,0.805,0
636,68,1,1,1,4.0,8096.32,14.39,8.76,68.8,24,0,2,4,0.451,3
493,11,4,1,1,15.38,2474.91,8.97,0.16,33.22,29,1,9,5,0.747,6
683,107,1,0,1,81.25,1906.82,56.19,18.17,0.0,2,2,56,1,0.177,3
741,20,1,1,1,-9.76,493.62,17.48,12.56,53.72,34,0,11,3,0.823,6
739,4,1,0,0,15.38,2907.52,8.57,4.29,0.0,0,0,0,5,0.981,1
572,59,1,0,1,16.0,1823.89,9.93,-0.59,0.0,29,0,7,5,0.362,5
470,74,2,0,1,12.5,2212.23,18.66,7.62,0.0,34,0,9,4,0.911,3
653,101,2,1,1,7.14,6096.52,15.7,-5.14,65.65,48,1,5,5,0.579,1
688,38,1,0,1,16.67,12221.27,15.78,-8.78,0.0,30,0,10,4,0.601,6
565,75,1,0,1,2.33,3078.94,19.27,5.4,0.0,21,0,5,5,0.516,0
695,16,1,0,1,4.0,3303.44,18.18,-7.08,0.0,25,0,10,3,0.948,3
459,39,1,1,1,5.71,1048.5,17.36,8.52,30.45,33,0,13,5,0.997,3
534,91,2,0,0,2.7,37273.36,10.54,5.03,0.0,0,0,13,4,0.997,3
586,84,3,0,1,71.43,6640.45,31.43,22.3,0.0,2,4,69,1,0.168,3
793,92,2,0,1,2.5,10425.92,22.3,14.91,0.0,29,0,13,4,0.527,1
617,67,1,1,1,61.7,1119.03,52.35,30.08,90.33,2,2,74,3,0.18,4
776,26,1,1,1,-5.41,4604.12,21.92,-6.03,49.62,32,1,13,3,0.96,0
598,71,2,1,0,11.11,2877.19,5.78,11.29,40.97,0,1,5,4,0.691,1
657,21,2,1,1,0.0,523.26,13.83,11.47,30.86,29,0,5,4,0.698,0
670,34,1,1,0,10.64,2525.26,24.97,13.82,62.02,0,0,1,4,0.995,1
614,14,1,0,1,64.29,1433.15,55.14,27.39,0.0,5,4,44,1,0.174,6
726,118,2,0,1,-2.27,611.16,19.56,-6.92,0.0,43,0,6,3,0.528,4
604,41,3,1,0,-7.14,1340.92,15.42,-8.12,66.06,0,0,8,4,0.712,3
634,118,3,1,1,78.57,421.8,38.49,41.59,83.91,6,0,45,1,0.032,3
615,81,2,1,1,8.33,4250.61,22.6,9.81,54.14,18,3,4,3,0.495,2
584,51,2,0,1,10.81,1746.59,20.99,-5.72,0.0,32,1,11,4,0.93,6
769,16,2,0,0,7.69,4183.37,15.44,11.64,0.0,0,0,1,3,0.689,0
761,88,1,1,1,-9.62,3628.51,17.35,1.5,53.86,24,0,2,5,0.572,3
618,20,2,1,1,2.33,1057.43,14.04,-2.08,56.66,23,0,13,4,0.922,2
590,38,3,1,0,7.14,883.04,10.53,-7.57,59.07,0,1,8,5,0.803,0
698,108,3,0,1,11.36,1470.95,8.1,-2.01,0.0,29,1,10,4,0.408,2
751,46,2,0,0,-12.5,14684.8,9.83,7.51,0.0,0,0,8,5,0.597,2
691,114,2,1,1,19.51,26527.69,14.94,-2.43,51.51,33,0,5,4,0.925,2
664,96,1,0,1,-6.25,1814.09,17.55,3.07,0.0,30,0,8,4,0.69,3
650,53,1,1,1,48.28,2897.75,42.04,44.74,98.4,5,3,80,2,0.093,2
477,42,2,0,1,-9.09,32710.54,11.83,-7.83,0.0,37,0,4,4,0.727,6
686,84,1,1,1,58.82,6893.31,58.99,19.08,78.6,6,2,59,3,0.074,1
766,34,4,0,0,51.16,1461.24,44.11,46.72,0.0,0,3,52,1,0.051,4
534,113,1,1,0,0.0,3484.92,18.19,13.77,47.49,0,1,9,4,0.56,3
703,108,1,1,0,10.0,14844.86,18.54,6.64,31.15,0,1,9,3,0.314,4
650,2,2,1,1,64.29,15952.06,57.74,57.49,87.36,1,3,85,3,0.056,4
687,9,2,1,1,10.0,7034.77,11.97,-9.35,63.03,29,0,11,5,0.704,6
707,37,4,0,1,-2.0,2244.75,12.04,13.11,0.0,36,0,11,4,0.707,6
644,100,2,0,0,13.16,397.97,8.46,-7.08,0.0,0,0,6,5,0.984,3
590,102,3,1,1,52.63,6828.47,59.32,53.4,87.01,0,5,21,1,0.023,5
636,38,4,0,1,14.29,14967.52,11.33,-7.37,0.0,29,0,2,4,0.349,0
710,38,2,1,0,-9.09,10595.02,24.56,11.44,42.66,0,0,1,5,0.575,3
664,30,1,0,1,-4.08,4830.8,6.86,12.16,0.0,28,0,1,5,0.511,4
723,44,1,1,1,76.47,28753.55,38.12,44.42,85.26,8,4,75,1,0.088,4
647,59,1,1,1,71.7,24839.46,31.2,22.61,78.47,5,1,76,2,0.143,4
682,36,1,1,0,10.0,6297.92,10.11,7.66,37.19,0,2,6,4,0.414,6
578,101,2,0,0,11.36,7096.66,7.09,-0.93,0.0,0,1,12,4,0.451,6
728,37,1,0,1,16.0,6446.84,14.01,11.47,0.0,31,1,1,3,0.97,2
647,74,4,1,1,81.25,1661.86,56.42,15.99,87.77,3,2,40,1,0.023,3
593,73,2,1,1,12.73,1553.79,15.38,8.23,61.76,28,0,0,4,0.325,6
628,28,1,0,1,8.93,3607.26,13.73,-7.6,0.0,25,0,11,5,0.927,2
618,76,2,1,1,77.5,33804.79,54.52,58.16,75.36,1,1,72,3,0.188,1
599,56,1,1,0,19.51,4077.26,9.84,3.51,74.93,0,0,3,4,0.536,3
700,19,1,1,1,2.7,4273.22,17.6,8.44,50.49,37,1,5,5,0.311,6
863,84,2,0,0,65.71,769.34,40.11,18.2,0.0,0,1,15,1,0.043,2
641,73,2,0,0,-12.5,3853.88,8.42,6.46,0.0,0,1,4,4,0.461,4
631,81,2,1,0,15.22,1117.21,8.6,8.6,57.86,0,0,10,5,0.972,2
789,14,2,1,0,8.7,3233.95,14.96,3.36,40.69,0,0,9,3,0.706,5
783,42,2,0,0,-7.14,932.06,5.09,-2.38,0.0,0,2,3,5,0.553,6
624,27,1,1,0,69.39,4655.22,63.36,45.03,86.31,0,2,19,1,0.064,6
668,119,2,1,1,19.51,21024.37,23.18,8.11,70.42,28,1,7,4,0.344,1
742,44,2,0,1,13.16,1173.46,19.43,5.45,0.0,36,0,13,3,0.854,0
527,81,2,1,1,-6.25,1550.06,11.79,4.9,52.36,37,0,12,3,0.862,2
519,23,3,1,0,-7.14,5714.71,7.31,-1.69,31.91,0,1,1,5,0.655,2
665,32,4,1,1,-10.2,9360.58,9.31,13.35,37.75,24,0,5,5,0.921,2
812,60,3,1,1,9.43,1435.35,18.82,3.64,50.52,29,1,7,5,0.949,6
587,77,1,1,1,64.29,2885.35,41.01,37.21,85.83,4,3,64,3,0.129,2
622,25,1,0,1,8.16,11517.2,13.08,10.64,0.0,31,0,6,3,0.539,5
659,32,1,1,0,0.0,742.43,22.22,-7.71,41.34,0,0,10,4,0.342,0
502,72,1,1,1,5.71,3312.4,5.67,0.02,53.12,34,0,4,4,0.434,1
546,103,4,0,1,-7.14,16908.87,13.06,11.34,0.0,34,0,8,5,0.559,2
651,116,4,1,1,2.17,8745.69,11.24,-1.49,40.86,30,0,6,4,0.501,3
733,118,1,1,1,-5.0,2359.47,21.56,2.47,64.86,31,1,7,5,0.819,0
466,4,2,1,1,51.02,126.19,61.53,35.55,76.67,8,6,79,1,0.016,0
860,1,1,1,1,-2.13,22129.08,9.8,8.97,43.84,30,0,1,4,0.971,4
702,52,1,1,1,79.55,1483.78,54.15,18.16,79.92,7,1,58,1,0.189,0
685,88,1,1,1,-8.0,1900.74,24.25,14.78,36.22,33,0,1,4,0.577,3
644,75,1,0,1,12.5,880.47,9.21,-0.87,0.0,36,0,12,4,0.98,5
569,4,2,0,0,6.25,5016.65,15.88,9.58,0.0,0,0,9,5,0.336,5
674,82,1,1,1,-11.11,9779.49,11.78,-2.76,61.83,31,0,1,3,0.438,3
703,103,2,0,1,-9.62,14564.07,6.21,-6.73,0.0,27,1,3,5,0.704,6
557,71,2,1,1,13.33,19677.56,20.09,8.63,38.25,31,1,12,4,0.715,1
724,99,1,0,1,10.0,13393.72,13.08,-1.69,0.0,33,0,7,4,0.568,3
577,9,3,1,1,76.92,6267.68,65.35,40.09,96.82,9,3,75,2,0.167,3
591,67,2,1,1,55.32,698.24,42.78,54.25,81.03,5,1,55,1,0.063,2
660,61,2,1,0,12.9,21534.52,14.24,-5.65,65.29,0,0,1,4,0.329,4
785,80,1,1,0,-3.64,18390.34,8.61,5.07,63.82,0,0,3,3,0.565,2
606,17,2,1,1,17.02,2345.62,22.91,-3.11,66.43,22,0,9,3,0.711,6
688,112,2,0,1,72.73,5491.56,63.32,23.86,0.0,6,3,47,3,0.198,3
672,32,4,1,0,14.29,1149.08,9.9,-5.59,40.19,0,0,10,5,0.461,0
620,22,1,1,0,10.0,797.49,8.39,-0.53,39.27,0,0,12,3,0.709,5
615,8,1,0,1,-2.27,4633.09,7.93,13.62,0.0,26,1,6,3,0.842,0
481,24,1,0,1,14.29,12176.58,21.06,13.42,0.0,32,0,4,4,0.695,3
620,56,2,0,1,-9.09,4597.17,7.7,-7.27,0.0,32,0,12,4,0.407,6
609,63,2,0,1,47.83,5268.01,51.0,28.21,0.0,7,2,43,3,0.145,2
628,36,1,0,0,72.73,13402.69,41.14,22.98,0.0,0,3,53,1,0.104,3
709,17,4,1,1,-7.14,3626.2,16.03,11.42,69.57,23,1,13,3,0.562,3
664,25,4,1,1,20.59,4178.13,21.27,5.33,39.42,35,2,6,4,0.436,4
770,101,2,0,1,72.22,5889.69,34.74,51.09,0.0,3,0,30,1,0.045,2
689,72,3,1,1,15.38,1828.67,18.36,6.81,47.64,29,1,2,5,0.783,4
811,71,1,1,1,5.0,788.91,20.75,2.09,33.31,38,0,1,5,0.884,3
524,118,2,0,1,-10.53,9861.42,10.5,13.33,0.0,39,0,11,3,0.784,4
706,71,2,1,1,63.79,794.9,63.55,37.81,86.79,8,1,82,1,0.017,0
777,92,3,1,0,10.64,2409.36,14.53,-6.2,39.18,0,1,5,4,0.868,6
741,67,1,0,1,8.7,3061.41,7.2,14.65,0.0,36,0,2,5,0.837,3
588,1,3,1,1,-11.11,2419.93,19.98,3.5,46.77,31,1,13,3,0.887,4
603,116,3,1,0,-5.88,5069.77,5.32,-7.73,38.05,0,1,2,5,0.961,0
760,67,3,1,1,-1.89,3658.81,17.04,-7.68,53.93,30,0,3,4,0.972,3
681,66,2,1,1,14.29,3324.26,11.94,5.14,34.94,35,0,2,4,0.542,0
690,95,2,0,0,12.5,2899.74,24.72,-3.11,0.0,0,0,0,4,0.608,2
605,39,2,1,0,17.5,2412.51,15.75,-9.31,64.4,0,1,9,4,0.509,3
759,34,2,0,1,61.7,4350.43,35.0,37.43,0.0,7,1,40,3,0.193,6
725,96,2,0,1,63.41,593.11,58.62,29.58,0.0,3,2,40,2,0.0,0
681,54,2,1,1,11.76,659.26,14.64,-0.76,51.39,28,0,7,5,0.42,3
612,35,2,0,0,-2.27,2126.18,17.47,-4.27,0.0,0,0,5,5,0.329,6
552,48,1,0,1,5.26,2269.73,6.32,2.44,0.0,36,1,9,4,0.705,6
716,107,1,1,1,13.46,4880.13,24.54,10.43,40.46,36,0,2,5,0.481,5
615,36,3,0,1,8.16,5019.46,12.14,-2.38,0.0,27,0,13,3,0.792,1
704,109,2,1,0,10.64,1074.62,21.99,-4.56,63.57,0,0,3,5,0.775,4
743,29,2,0,0,-6.25,153.24,17.56,-7.54,0.0,0,0,11,4,0.574,4
675,50,1,1,1,11.36,12403.42,20.74,10.46,42.64,30,0,0,5,0.705,3
618,76,2,0,1,71.15,1894.47,42.66,24.56,0.0,3,2,75,3,0.021,3
644,89,1,0,1,-12.5,1446.7,13.32,10.24,0.0,35,2,9,4,0.837,1
608,72,1,0,0,6.67,1705.74,13.6,12.35,0.0,0,1,5,4,0.381,2
559,2,2,1,0,11.11,820.52,10.74,-2.29,40.12,0,0,8,4,0.849,6
704,98,1,1,1,-11.76,10142.04,9.31,2.66,60.71,32,0,3,4,0.705,3
662,10,1,0,1,-4.35,1736.67,22.95,8.57,0.0,33,0,6,4,0.677,6
556,89,1,1,1,9.3,2973.09,7.52,-8.2,57.5,25,0,0,4,0.484,4
631,97,2,1,1,4.26,6394.62,23.78,11.27,71.64,22,0,0,4,0.576,6
715,72,2,1,1,75.0,2669.44,37.51,59.7,94.45,8,3,87,2,0.175,5
668,70,2,1,0,7.69,15021.21,18.59,12.94,41.44,0,0,7,3,0.497,1
588,29,1,1,1,65.71,8150.72,49.51,48.9,96.15,6,0,49,1,0.15,1
562,10,3,0,1,5.71,8196.98,14.03,-5.13,0.0,29,0,1,4,0.903,6
597,25,4,0,1,0.0,10483.3,18.38,-7.32,0.0,34,0,2,3,0.598,4
546,90,1,1,1,16.67,3872.67,13.47,-8.71,59.94,41,0,11,3,0.658,4
621,41,1,1,1,-5.41,3423.44,6.29,-2.06,58.24,31,1,10,4,0.641,3
516,59,2,0,1,10.81,2019.87,9.85,-4.86,0.0,27,1,1,4,0.84,3
601,10,1,1,0,72.09,3834.27,42.82,53.2,79.92,0,3,16,2,0.057,0
728,74,3,1,1,8.7,6764.09,12.75,4.46,73.64,31,0,5,5,0.845,4
627,96,2,0,1,63.27,21907.35,55.5,44.32,0.0,1,4,58,2,0.061,0
633,73,2,1,1,-6.67,19027.02,21.91,-5.63,34.34,31,0,6,4,0.64,3
580,8,1,1,1,16.67,9668.18,21.46,-1.51,69.29,35,1,12,5,0.698,4
647,104,2,0,0,59.09,655.96,56.96,29.09,0.0,0,1,49,1,0.109,4
698,34,1,1,1,-6.25,12358.52,21.13,2.17,71.04,36,1,13,3,0.634,3
667,115,4,0,1,10.81,850.45,15.28,-3.96,0.0,25,0,1,5,0.957,4
621,89,1,1,1,-9.52,6331.24,17.68,14.45,31.2,36,0,0,5,0.942,1
506,92,1,1,1,75.0,1883.42,61.69,44.88,86.51,8,0,83,2,0.096,3
643,13,1,1,1,-3.12,17173.15,11.19,-0.77,36.95,34,0,4,4,0.323,3
567,58,1,1,0,75.0,6749.73,42.02,16.94,87.79,0,0,72,2,0.161,3
724,3,1,0,1,7.69,29935.88,22.5,5.27,0.0,35,0,12,3,0.584,6
593,58,1,0,1,0.0,3961.26,19.65,5.31,0.0,28,1,3,3,0.767,4
652,19,3,0,1,68.42,3926.69,36.57,21.42,0.0,7,1,38,3,0.094,3
735,34,2,1,0,17.5,5859.13,12.97,-7.6,54.24,0,1,9,5,0.459,6
736,30,1,1,1,73.68,16073.42,57.96,38.75,90.85,3,2,39,1,0.027,1
564,57,2,1,1,-2.27,496.68,23.6,7.48,42.54,31,0,13,5,0.539,6
652,2,2,1,1,63.41,1332.81,44.23,47.96,81.23,3,2,30,1,0.05,6
486,9,2,1,1,6.9,10414.87,18.93,0.83,32.64,35,0,3,3,0.425,4
615,81,2,1,1,75.0,22267.86,53.67,47.15,91.58,4,0,87,3,0.095,5
436,68,1,1,1,0.0,2269.46,10.05,-4.52,70.92,28,0,0,4,0.308,1
727,91,1,1,1,-10.53,797.12,13.12,-1.63,39.2,34,1,3,3,0.728,3
676,77,4,0,0,57.14,913.05,53.26,54.73,0.0,0,4,44,2,0.084,5
590,91,1,0,1,78.05,1823.9,48.2,52.03,0.0,6,1,48,2,0.07,3
701,99,2,1,1,12.2,561.42,12.83,12.56,39.45,29,0,1,5,0.907,3
614,10,1,1,1,69.23,1065.08,45.72,42.18,94.29,3,3,45,2,0.155,0
671,105,1,0,1,-1.79,1720.92,13.36,-9.81,0.0,29,0,10,4,0.56,6
591,101,2,1,1,2.33,5525.78,9.75,-5.63,61.74,34,0,1,4,0.605,3
764,19,2,1,1,13.33,41096.81,12.24,14.97,33.55,25,0,10,4,0.568,5
624,85,3,0,1,7.69,13244.49,12.92,10.32,0.0,25,1,10,4,0.607,5
649,40,1,1,0,-2.13,4277.2,23.85,-5.79,49.44,0,0,4,4,0.984,2
663,60,3,1,1,3.57,1540.23,22.06,0.1,33.22,40,0,2,4,0.606,4
569,105,1,1,1,2.94,6104.68,12.9,12.36,48.87,35,1,3,5,0.582,3
583,55,2,1,1,-9.62,3216.49,10.43,12.15,40.31,30,1,7,4,0.347,1
669,52,1,1,0,17.5,5515.95,6.44,1.98,37.3,0,0,10,5,0.694,4
617,89,3,1,1,-5.41,5205.89,11.29,5.38,71.27,20,0,6,5,0.937,3
690,15,3,1,1,0.0,61699.93,7.07,12.75,65.73,35,1,4,4,0.903,0
700,86,2,1,1,48.78,5497.09,68.61,36.22,75.33,4,3,29,2,0.02,4
531,63,1,0,0,0.0,1483.07,19.41,-4.96,0.0,0,0,8,5,0.765,6
639,4,2,1,1,4.26,13478.09,9.51,9.95,49.85,36,1,10,5,0.801,4
619,3,3,0,0,54.72,16731.97,52.86,30.64,0.0,0,0,62,1,0.078,0
600,26,1,1,0,7.27,2695.35,14.05,3.11,31.32,0,0,4,3,0.759,6
579,100,2,1,0,13.16,2714.51,20.37,6.13,39.69,0,0,11,4,0.974,2
574,113,3,1,1,-5.88,2229.85,10.07,4.75,46.32,30,0,6,5,0.933,2
780,113,2,0,1,-5.0,2142.4,6.32,5.26,0.0,29,0,0,4,0.844,3
575,117,2,0,1,18.18,1108.09,23.04,8.09,0.0,43,1,11,3,0.602,3
647,57,2,0,1,66.04,1564.4,39.31,17.34,0.0,6,2,55,2,0.11,1
544,100,1,1,1,79.07,2332.41,64.38,24.8,97.54,4,0,87,3,0.086,2
585,67,2,1,1,-10.2,2427.69,11.58,-0.1,47.02,28,1,2,5,0.707,2
649,64,3,1,0,-2.27,1044.52,23.27,-1.05,33.75,0,1,13,4,0.469,3
644,82,1,0,1,10.0,3980.99,14.85,-0.96,0.0,31,1,0,4,0.961,6
529,108,1,0,1,15.38,1286.13,12.2,12.47,0.0,36,0,9,5,0.386,3
631,22,2,1,1,-2.86,4258.09,6.24,-8.35,62.42,30,0,13,5,0.816,0
563,48,4,0,0,0.0,2976.82,11.78,4.48,0.0,0,0,9,5,0.862,3
555,82,3,0,1,-2.0,6765.11,9.02,-7.87,0.0,30,0,13,5,0.952,6
705,76,2,0,1,3.77,17117.75,11.04,9.4,0.0,31,0,6,3,0.35,1
713,113,2,0,1,5.88,1697.46,11.03,-1.17,0.0,32,3,1,3,0.673,6
532,69,1,1,0,-10.2,6097.31,22.7,13.15,38.26,0,0,4,3,0.431,3
764,14,1,0,1,-11.63,4528.14,15.38,10.62,0.0,21,1,1,4,0.482,0
603,5,1,0,1,-2.13,509.26,20.79,-4.93,0.0,39,0,3,3,0.338,3
749,53,1,0,1,-9.76,7998.95,15.24,4.87,0.0,31,0,5,3,0.846,5
621,113,2,0,1,2.04,306.39,20.83,13.44,0.0,33,1,6,3,0.804,3
685,38,3,1,0,8.7,3698.67,9.56,-7.32,33.47,0,0,13,5,0.862,1
661,106,1,1,1,15.22,1158.55,13.36,-3.39,51.36,36,0,7,5,0.714,3
592,112,2,1,1,10.53,116396.64,10.96,14.12,43.77,32,0,2,4,0.915,3
484,36,1,1,1,-6.45,11851.7,9.25,-6.44,50.72,29,0,13,3,0.558,3
666,23,2,0,1,8.7,454.72,22.31,-5.55,0.0,38,0,6,3,0.389,5
554,67,1,1,1,5.26,22853.98,6.29,-4.49,46.1,23,0,6,4,0.931,6
695,88,3,1,1,16.67,1622.72,6.53,-6.22,53.97,25,0,2,5,0.703,2
542,18,1,1,0,0.0,1902.81,15.47,-5.7,34.85,0,0,6,3,0.818,3
589,55,1,0,1,12.2,20924.24,14.27,-1.48,0.0,28,0,0,3,0.972,1
662,117,1,0,0,-4.08,2910.27,14.81,4.12,0.0,0,0,0,3,0.41,4
448,91,1,1,1,65.12,2285.74,54.75,26.46,99.59,4,2,79,1,0.128,0
528,10,1,0,0,-4.08,1104.2,19.65,1.77,0.0,0,0,10,4,0.892,3
492,39,2,1,1,17.5,3485.27,24.54,-5.95,69.78,22,1,2,5,0.469,2
605,87,3,1,0,-1.69,3008.98,12.96,6.21,55.82,0,0,10,4,0.494,3
672,117,1,1,0,2.7,18845.26,21.93,-9.63,53.03,0,1,0,5,0.543,4
625,2,4,0,1,53.12,2934.6,34.32,47.07,0.0,4,2,31,3,0.023,6
675,56,1,1,0,-4.65,2566.18,16.28,11.84,55.34,0,0,10,4,0.89,3
494,104,2,1,1,2.33,7231.04,17.6,7.67,48.79,30,0,13,4,0.495,4
702,27,1,0,1,10.0,581.23,12.3,2.19,0.0,26,2,10,3,0.311,4
697,80,2,0,1,-6.25,8915.78,13.9,-2.23,0.0,32,1,12,5,0.68,3
718,92,3,0,1,62.5,742.97,42.33,31.64,0.0,4,2,31,1,0.149,4
588,53,1,0,1,72.73,16833.32,43.77,55.94,0.0,7,1,42,2,0.04,4
700,29,3,1,0,-8.0,55413.83,14.57,9.0,48.24,0,0,2,3,0.801,3
676,99,1,1,0,61.7,418.48,57.42,39.6,85.19,0,1,59,2,0.042,2
628,53,2,1,0,4.55,3234.71,20.28,2.79,44.35,0,1,0,4,0.973,4
783,72,1,0,1,49.15,4508.46,50.81,50.81,0.0,3,4,31,2,0.188,2
698,57,2,1,1,-7.14,17886.61,21.07,-5.33,46.36,37,0,2,3,0.798,1
685,105,1,0,1,16.0,607.15,9.46,-7.55,0.0,20,0,3,4,0.821,1
686,35,1,1,0,66.67,5021.8,69.81,47.93,82.72,0,2,30,1,0.005,5
640,26,2,0,1,9.43,1418.74,19.42,5.78,0.0,32,0,8,4,0.431,4
761,89,1,0,1,-9.09,4256.5,13.58,4.92,0.0,30,1,0,4,0.477,0
649,22,1,1,1,-5.26,11865.63,13.79,14.31,56.46,34,1,2,4,0.713,5
560,9,4,1,1,14.29,1112.8,20.29,1.83,59.35,37,1,12,4,0.913,6
747,97,3,1,1,51.16,7225.19,50.33,41.71,96.6,9,2,15,1,0.093,6
629,23,1,1,0,73.21,630.97,63.85,59.23,83.45,0,1,31,3,0.119,5
722,31,2,1,1,-2.0,2503.77,12.64,4.2,42.19,24,0,8,4,0.676,3
599,65,1,1,0,4.55,1142.96,14.33,0.35,35.43,0,1,4,4,0.769,0
584,29,2,1,0,10.0,13771.03,17.01,-7.93,42.72,0,1,13,5,0.862,4
849,90,1,1,1,15.38,13392.68,18.84,8.08,62.77,24,0,1,3,0.845,2
683,76,1,1,0,15.38,14916.4,7.81,-3.27,35.39,0,0,5,4,0.754,0
687,91,2,1,1,66.67,7224.99,49.29,38.89,95.24,4,3,44,3,0.05,4
701,92,2,0,1,2.04,440.48,16.88,-0.94,0.0,30,0,5,4,0.968,3
753,23,1,0,1,70.73,11801.7,66.54,57.17,0.0,2,2,58,2,0.137,4
528,73,3,1,1,0.0,873.26,11.16,13.16,30.62,36,0,6,5,0.771,5
673,91,4,1,1,0.0,2765.05,12.32,-1.52,68.07,30,1,10,4,0.392,4
787,96,3,0,1,60.53,3506.23,59.09,17.13,0.0,3,0,80,2,0.163,6
695,16,2,1,1,15.09,2324.73,14.87,6.87,55.11,28,0,5,5,0.756,6
594,27,2,1,1,2.33,6161.05,8.78,-4.28,42.0,27,0,2,4,0.372,4
635,32,3,1,1,1.92,2713.26,6.92,-1.62,31.52,31,0,3,4,0.791,2
753,116,2,1,1,3.77,2571.05,13.66,7.35,63.33,25,0,2,3,0.91,4
622,28,1,0,0,3.39,183.89,15.69,9.7,0.0,0,0,9,5,0.499,3
502,90,2,1,0,-5.88,1655.72,23.71,6.24,42.68,0,0,11,4,0.315,3
728,33,2,1,1,-4.65,8873.39,12.33,10.96,72.39,33,1,7,4,0.644,0
744,73,1,0,1,2.5,182.15,21.51,11.15,0.0,42,0,8,5,0.318,6
743,70,1,1,1,7.69,27280.15,12.35,11.11,42.96,35,0,10,4,0.898,0
648,72,3,0,1,-3.45,2604.05,21.54,0.67,0.0,35,0,4,4,0.65,4
648,27,2,0,0,7.69,10676.69,20.53,1.08,0.0,0,0,9,5,0.794,1
792,64,2,1,0,0.0,2571.47,19.08,2.71,40.29,0,0,0,5,0.532,0
650,47,2,1,0,11.36,1288.78,16.11,-5.35,49.86,0,0,6,3,0.394,4
641,79,3,1,1,0.0,5912.97,19.43,-8.09,47.8,17,0,7,3,0.307,6
491,50,1,1,1,0.0,9454.94,22.18,1.48,67.23,29,0,8,4,0.855,4
650,78,2,1,1,11.11,5628.58,19.17,13.68,51.66,32,1,12,3,0.416,1
596,70,3,0,1,6.67,5133.29,5.76,-3.37,0.0,21,0,0,5,0.924,2
491,53,2,1,1,-9.09,4220.22,9.88,-1.86,38.66,26,0,1,5,0.317,1
589,109,2,0,1,-11.43,27066.93,11.6,-3.74,0.0,38,0,7,5,0.358,4
688,113,1,0,1,17.5,16133.92,19.61,1.2,0.0,35,0,11,5,0.527,1
610,13,4,1,1,-5.41,3560.01,14.54,0.11,45.55,28,1,6,5,0.479,6
733,19,1,0,1,17.02,10382.55,13.53,14.41,0.0,34,1,5,5,0.411,6
657,80,1,1,1,73.33,1271.98,48.33,49.92,83.53,3,1,41,2,0.06,3
740,80,2,1,1,-4.08,21402.92,12.18,-6.34,44.52,34,0,7,3,0.346,1
602,83,2,1,0,-5.0,12625.58,20.75,6.24,39.07,0,0,8,3,0.685,6
588,115,1,0,1,0.0,14054.07,16.28,0.64,0.0,39,1,0,5,0.925,5
665,89,1,0,0,16.67,734.87,18.63,2.24,0.0,0,1,1,3,0.502,6
638,101,1,1,0,-6.67,10032.59,9.95,-9.31,72.59,0,0,11,4,0.938,5
685,58,1,1,1,76.92,33713.04,39.95,48.71,78.83,5,2,82,2,0.041,0
